x,cp
1.00E+00,2.51E-01
9.99E-01,2.30E-01
9.98E-01,2.29E-01
9.97E-01,2.24E-01
9.96E-01,2.19E-01
9.95E-01,2.14E-01
9.93E-01,2.09E-01
9.92E-01,2.04E-01
9.91E-01,1.99E-01
9.90E-01,1.94E-01
9.88E-01,1.90E-01
9.87E-01,1.85E-01
9.85E-01,1.81E-01
9.84E-01,1.77E-01
9.82E-01,1.72E-01
9.81E-01,1.68E-01
9.79E-01,1.63E-01
9.77E-01,1.59E-01
9.75E-01,1.55E-01
9.74E-01,1.50E-01
9.72E-01,1.46E-01
9.70E-01,1.42E-01
9.68E-01,1.37E-01
9.65E-01,1.33E-01
9.63E-01,1.28E-01
9.61E-01,1.24E-01
9.59E-01,1.20E-01
9.56E-01,1.15E-01
9.54E-01,1.11E-01
9.51E-01,1.06E-01
9.48E-01,1.02E-01
9.46E-01,9.74E-02
9.43E-01,9.30E-02
9.40E-01,8.85E-02
9.37E-01,8.40E-02
9.34E-01,7.95E-02
9.30E-01,7.50E-02
9.27E-01,7.05E-02
9.23E-01,6.60E-02
9.20E-01,6.15E-02
9.16E-01,5.70E-02
9.12E-01,5.25E-02
9.09E-01,4.80E-02
9.05E-01,4.35E-02
9.01E-01,3.90E-02
8.96E-01,3.44E-02
8.92E-01,2.99E-02
8.87E-01,2.54E-02
8.83E-01,2.08E-02
8.78E-01,1.63E-02
8.73E-01,1.18E-02
8.68E-01,7.23E-03
8.63E-01,2.68E-03
8.58E-01,-1.87E-03
8.53E-01,-6.42E-03
8.47E-01,-1.10E-02
8.41E-01,-1.55E-02
8.36E-01,-2.01E-02
8.30E-01,-2.47E-02
8.23E-01,-2.93E-02
8.17E-01,-3.39E-02
8.11E-01,-3.85E-02
8.04E-01,-4.31E-02
7.98E-01,-4.77E-02
7.91E-01,-5.24E-02
7.84E-01,-5.70E-02
7.77E-01,-6.17E-02
7.70E-01,-6.64E-02
7.62E-01,-7.11E-02
7.55E-01,-7.58E-02
7.47E-01,-8.05E-02
7.40E-01,-8.53E-02
7.32E-01,-9.01E-02
7.24E-01,-9.49E-02
7.15E-01,-9.98E-02
7.07E-01,-1.05E-01
6.99E-01,-1.10E-01
6.90E-01,-1.14E-01
6.82E-01,-1.19E-01
6.73E-01,-1.24E-01
6.64E-01,-1.29E-01
6.55E-01,-1.35E-01
6.46E-01,-1.40E-01
6.37E-01,-1.45E-01
6.28E-01,-1.50E-01
6.18E-01,-1.55E-01
6.09E-01,-1.60E-01
5.99E-01,-1.66E-01
5.90E-01,-1.71E-01
5.80E-01,-1.76E-01
5.71E-01,-1.82E-01
5.61E-01,-1.87E-01
5.51E-01,-1.93E-01
5.42E-01,-1.98E-01
5.32E-01,-2.04E-01
5.22E-01,-2.09E-01
5.12E-01,-2.15E-01
5.02E-01,-2.21E-01
4.92E-01,-2.26E-01
4.83E-01,-2.32E-01
4.73E-01,-2.38E-01
4.63E-01,-2.43E-01
4.53E-01,-2.49E-01
4.44E-01,-2.55E-01
4.34E-01,-2.60E-01
4.24E-01,-2.66E-01
4.15E-01,-2.71E-01
4.05E-01,-2.77E-01
3.96E-01,-2.83E-01
3.86E-01,-2.88E-01
3.77E-01,-2.94E-01
3.68E-01,-2.99E-01
3.59E-01,-3.04E-01
3.50E-01,-3.10E-01
3.41E-01,-3.15E-01
3.32E-01,-3.20E-01
3.23E-01,-3.25E-01
3.15E-01,-3.30E-01
3.06E-01,-3.35E-01
2.98E-01,-3.40E-01
2.90E-01,-3.44E-01
2.81E-01,-3.49E-01
2.73E-01,-3.53E-01
2.66E-01,-3.58E-01
2.58E-01,-3.62E-01
2.50E-01,-3.66E-01
2.43E-01,-3.70E-01
2.36E-01,-3.74E-01
2.28E-01,-3.77E-01
2.21E-01,-3.81E-01
2.14E-01,-3.84E-01
2.08E-01,-3.87E-01
2.01E-01,-3.90E-01
1.95E-01,-3.93E-01
1.88E-01,-3.96E-01
1.82E-01,-3.98E-01
1.76E-01,-4.01E-01
1.70E-01,-4.03E-01
1.65E-01,-4.05E-01
1.59E-01,-4.06E-01
1.54E-01,-4.08E-01
1.48E-01,-4.09E-01
1.43E-01,-4.11E-01
1.38E-01,-4.12E-01
1.33E-01,-4.12E-01
1.28E-01,-4.13E-01
1.24E-01,-4.13E-01
1.19E-01,-4.13E-01
1.15E-01,-4.13E-01
1.10E-01,-4.13E-01
1.06E-01,-4.13E-01
1.02E-01,-4.12E-01
9.84E-02,-4.11E-01
9.46E-02,-4.10E-01
9.09E-02,-4.08E-01
8.74E-02,-4.07E-01
8.39E-02,-4.05E-01
8.06E-02,-4.03E-01
7.73E-02,-4.00E-01
7.42E-02,-3.98E-01
7.12E-02,-3.95E-01
6.82E-02,-3.91E-01
6.54E-02,-3.88E-01
6.26E-02,-3.84E-01
6.00E-02,-3.80E-01
5.74E-02,-3.75E-01
5.49E-02,-3.70E-01
5.25E-02,-3.65E-01
5.02E-02,-3.59E-01
4.80E-02,-3.53E-01
4.58E-02,-3.47E-01
4.38E-02,-3.40E-01
4.18E-02,-3.33E-01
3.98E-02,-3.25E-01
3.80E-02,-3.17E-01
3.62E-02,-3.08E-01
3.44E-02,-2.99E-01
3.28E-02,-2.89E-01
3.12E-02,-2.79E-01
2.96E-02,-2.68E-01
2.82E-02,-2.57E-01
2.67E-02,-2.44E-01
2.54E-02,-2.32E-01
2.41E-02,-2.18E-01
2.28E-02,-2.04E-01
2.16E-02,-1.89E-01
2.04E-02,-1.74E-01
1.93E-02,-1.57E-01
1.83E-02,-1.40E-01
1.73E-02,-1.22E-01
1.63E-02,-1.03E-01
1.53E-02,-8.38E-02
1.45E-02,-6.35E-02
1.36E-02,-4.22E-02
1.28E-02,-2.01E-02
1.20E-02,2.72E-03
1.13E-02,2.65E-02
1.06E-02,5.11E-02
9.90E-03,7.63E-02
9.27E-03,1.02E-01
8.66E-03,1.29E-01
8.09E-03,1.57E-01
7.54E-03,1.85E-01
7.03E-03,2.14E-01
6.54E-03,2.43E-01
6.08E-03,2.72E-01
5.64E-03,3.02E-01
5.23E-03,3.32E-01
4.84E-03,3.63E-01
4.48E-03,3.93E-01
4.14E-03,4.24E-01
3.82E-03,4.54E-01
3.52E-03,4.84E-01
3.23E-03,5.13E-01
2.97E-03,5.42E-01
2.72E-03,5.71E-01
2.49E-03,5.99E-01
2.28E-03,6.26E-01
2.08E-03,6.52E-01
1.90E-03,6.77E-01
1.72E-03,7.02E-01
1.57E-03,7.25E-01
1.42E-03,7.47E-01
1.28E-03,7.69E-01
1.16E-03,7.89E-01
1.04E-03,8.08E-01
9.39E-04,8.26E-01
8.42E-04,8.43E-01
7.53E-04,8.58E-01
6.72E-04,8.73E-01
5.98E-04,8.87E-01
5.31E-04,8.99E-01
4.69E-04,9.11E-01
4.13E-04,9.22E-01
3.63E-04,9.31E-01
3.17E-04,9.40E-01
2.76E-04,9.49E-01
2.39E-04,9.56E-01
2.06E-04,9.63E-01
1.76E-04,9.69E-01
1.50E-04,9.74E-01
1.27E-04,9.79E-01
1.06E-04,9.83E-01
8.77E-05,9.87E-01
7.18E-05,9.91E-01
5.80E-05,9.93E-01
4.60E-05,9.96E-01
3.58E-05,9.98E-01
2.72E-05,1.00E+00
2.00E-05,1.00E+00
1.42E-05,1.00E+00
9.45E-06,1.00E+00
5.82E-06,1.00E+00
3.15E-06,1.01E+00
1.35E-06,1.01E+00
3.24E-07,1.01E+00
0.00E+00,1.01E+00
3.24E-07,1.01E+00
1.35E-06,1.01E+00
3.15E-06,1.01E+00
5.82E-06,1.00E+00
9.45E-06,1.00E+00
1.42E-05,1.00E+00
2.00E-05,1.00E+00
2.72E-05,1.00E+00
3.58E-05,9.98E-01
4.60E-05,9.96E-01
5.80E-05,9.93E-01
7.18E-05,9.91E-01
8.77E-05,9.87E-01
1.06E-04,9.83E-01
1.27E-04,9.79E-01
1.50E-04,9.74E-01
1.76E-04,9.69E-01
2.06E-04,9.63E-01
2.39E-04,9.56E-01
2.76E-04,9.49E-01
3.17E-04,9.40E-01
3.63E-04,9.31E-01
4.13E-04,9.22E-01
4.69E-04,9.11E-01
5.31E-04,8.99E-01
5.98E-04,8.87E-01
6.72E-04,8.73E-01
7.53E-04,8.58E-01
8.42E-04,8.43E-01
9.39E-04,8.26E-01
1.04E-03,8.08E-01
1.16E-03,7.89E-01
1.28E-03,7.69E-01
1.42E-03,7.47E-01
1.57E-03,7.25E-01
1.72E-03,7.02E-01
1.90E-03,6.77E-01
2.08E-03,6.52E-01
2.28E-03,6.26E-01
2.49E-03,5.99E-01
2.72E-03,5.71E-01
2.97E-03,5.42E-01
3.23E-03,5.13E-01
3.52E-03,4.84E-01
3.82E-03,4.54E-01
4.14E-03,4.24E-01
4.48E-03,3.93E-01
4.84E-03,3.63E-01
5.23E-03,3.32E-01
5.64E-03,3.02E-01
6.08E-03,2.72E-01
6.54E-03,2.43E-01
7.03E-03,2.14E-01
7.54E-03,1.85E-01
8.09E-03,1.57E-01
8.66E-03,1.29E-01
9.27E-03,1.02E-01
9.90E-03,7.63E-02
1.06E-02,5.11E-02
1.13E-02,2.65E-02
1.20E-02,2.74E-03
1.28E-02,-2.00E-02
1.36E-02,-4.22E-02
1.45E-02,-6.34E-02
1.53E-02,-8.38E-02
1.63E-02,-1.03E-01
1.73E-02,-1.22E-01
1.83E-02,-1.40E-01
1.93E-02,-1.57E-01
2.04E-02,-1.74E-01
2.16E-02,-1.89E-01
2.28E-02,-2.04E-01
2.41E-02,-2.18E-01
2.54E-02,-2.32E-01
2.67E-02,-2.44E-01
2.82E-02,-2.56E-01
2.96E-02,-2.68E-01
3.12E-02,-2.79E-01
3.28E-02,-2.89E-01
3.44E-02,-2.99E-01
3.62E-02,-3.08E-01
3.80E-02,-3.17E-01
3.98E-02,-3.25E-01
4.18E-02,-3.33E-01
4.38E-02,-3.40E-01
4.58E-02,-3.47E-01
4.80E-02,-3.53E-01
5.02E-02,-3.59E-01
5.25E-02,-3.65E-01
5.49E-02,-3.70E-01
5.74E-02,-3.75E-01
6.00E-02,-3.80E-01
6.26E-02,-3.84E-01
6.54E-02,-3.88E-01
6.82E-02,-3.91E-01
7.12E-02,-3.95E-01
7.42E-02,-3.98E-01
7.73E-02,-4.00E-01
8.06E-02,-4.03E-01
8.39E-02,-4.05E-01
8.74E-02,-4.07E-01
9.09E-02,-4.08E-01
9.46E-02,-4.10E-01
9.84E-02,-4.11E-01
1.02E-01,-4.12E-01
1.06E-01,-4.13E-01
1.10E-01,-4.13E-01
1.15E-01,-4.13E-01
1.19E-01,-4.13E-01
1.24E-01,-4.13E-01
1.28E-01,-4.13E-01
1.33E-01,-4.12E-01
1.38E-01,-4.12E-01
1.43E-01,-4.11E-01
1.48E-01,-4.09E-01
1.54E-01,-4.08E-01
1.59E-01,-4.06E-01
1.65E-01,-4.05E-01
1.70E-01,-4.03E-01
1.76E-01,-4.01E-01
1.82E-01,-3.98E-01
1.88E-01,-3.96E-01
1.95E-01,-3.93E-01
2.01E-01,-3.90E-01
2.08E-01,-3.87E-01
2.14E-01,-3.84E-01
2.21E-01,-3.81E-01
2.28E-01,-3.77E-01
2.36E-01,-3.74E-01
2.43E-01,-3.70E-01
2.50E-01,-3.66E-01
2.58E-01,-3.62E-01
2.66E-01,-3.58E-01
2.73E-01,-3.53E-01
2.81E-01,-3.49E-01
2.90E-01,-3.44E-01
2.98E-01,-3.40E-01
3.06E-01,-3.35E-01
3.15E-01,-3.30E-01
3.23E-01,-3.25E-01
3.32E-01,-3.20E-01
3.41E-01,-3.15E-01
3.50E-01,-3.10E-01
3.59E-01,-3.04E-01
3.68E-01,-2.99E-01
3.77E-01,-2.94E-01
3.86E-01,-2.88E-01
3.96E-01,-2.83E-01
4.05E-01,-2.77E-01
4.15E-01,-2.71E-01
4.24E-01,-2.66E-01
4.34E-01,-2.60E-01
4.44E-01,-2.55E-01
4.53E-01,-2.49E-01
4.63E-01,-2.43E-01
4.73E-01,-2.38E-01
4.83E-01,-2.32E-01
4.92E-01,-2.26E-01
5.02E-01,-2.21E-01
5.12E-01,-2.15E-01
5.22E-01,-2.09E-01
5.32E-01,-2.04E-01
5.42E-01,-1.98E-01
5.51E-01,-1.93E-01
5.61E-01,-1.87E-01
5.71E-01,-1.82E-01
5.80E-01,-1.76E-01
5.90E-01,-1.71E-01
5.99E-01,-1.66E-01
6.09E-01,-1.60E-01
6.18E-01,-1.55E-01
6.28E-01,-1.50E-01
6.37E-01,-1.45E-01
6.46E-01,-1.40E-01
6.55E-01,-1.35E-01
6.64E-01,-1.29E-01
6.73E-01,-1.24E-01
6.82E-01,-1.19E-01
6.90E-01,-1.14E-01
6.99E-01,-1.10E-01
7.07E-01,-1.05E-01
7.15E-01,-9.98E-02
7.24E-01,-9.49E-02
7.32E-01,-9.01E-02
7.40E-01,-8.53E-02
7.47E-01,-8.05E-02
7.55E-01,-7.58E-02
7.62E-01,-7.11E-02
7.70E-01,-6.64E-02
7.77E-01,-6.17E-02
7.84E-01,-5.70E-02
7.91E-01,-5.24E-02
7.98E-01,-4.77E-02
8.04E-01,-4.31E-02
8.11E-01,-3.85E-02
8.17E-01,-3.39E-02
8.23E-01,-2.93E-02
8.30E-01,-2.47E-02
8.36E-01,-2.01E-02
8.41E-01,-1.55E-02
8.47E-01,-1.10E-02
8.53E-01,-6.41E-03
8.58E-01,-1.86E-03
8.63E-01,2.69E-03
8.68E-01,7.23E-03
8.73E-01,1.18E-02
8.78E-01,1.63E-02
8.83E-01,2.09E-02
8.87E-01,2.54E-02
8.92E-01,2.99E-02
8.96E-01,3.44E-02
9.01E-01,3.90E-02
9.05E-01,4.35E-02
9.09E-01,4.80E-02
9.12E-01,5.25E-02
9.16E-01,5.70E-02
9.20E-01,6.15E-02
9.23E-01,6.60E-02
9.27E-01,7.06E-02
9.30E-01,7.50E-02
9.34E-01,7.95E-02
9.37E-01,8.40E-02
9.40E-01,8.85E-02
9.43E-01,9.30E-02
9.46E-01,9.74E-02
9.48E-01,1.02E-01
9.51E-01,1.06E-01
9.54E-01,1.11E-01
9.56E-01,1.15E-01
9.59E-01,1.20E-01
9.61E-01,1.24E-01
9.63E-01,1.28E-01
9.65E-01,1.33E-01
9.68E-01,1.37E-01
9.70E-01,1.42E-01
9.72E-01,1.46E-01
9.74E-01,1.50E-01
9.75E-01,1.55E-01
9.77E-01,1.59E-01
9.79E-01,1.63E-01
9.81E-01,1.68E-01
9.82E-01,1.72E-01
9.84E-01,1.77E-01
9.85E-01,1.81E-01
9.87E-01,1.85E-01
9.88E-01,1.90E-01
9.90E-01,1.94E-01
9.91E-01,1.99E-01
9.92E-01,2.04E-01
9.93E-01,2.09E-01
9.95E-01,2.14E-01
9.96E-01,2.19E-01
9.97E-01,2.24E-01
9.98E-01,2.29E-01
9.99E-01,2.30E-01
1.00E+00,2.51E-01
